url,name,price_raw,alcohol_raw,volume_raw,vintage_raw,grape,country,image_url,price,vintage,alcohol,volume_ml
https://grandcru.vn/ruou-vang-y/ruou-vang-do-grattamacco-bolgheri-rosso-2021/,Rượu Vang Đỏ Grattamacco Bolgheri Rosso 2021,15.400.000 ₫,14.0,750ML,,CAB FRANC,Ý,https://grandcru.vn/wp-content/uploads/2024/05/Grattamacco-Bolgheri-Rosso.png,15400000.0,,14.0,750.0
https://grandcru.vn/ruou-vang-y/ruou-vang-do-terre-nere-etna-rosso/,Rượu vang đỏ Terre Nere Etna Rosso,2022 2.299.000 ₫,13.5%,750ML,,NERELLO CAPPUCCIO,Ý,https://grandcru.vn/wp-content/uploads/2024/05/Terre-Nere-Etna-Rosso.png,2299000.0,2022.0,13.5,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-domaine-comte-georges-de-vogue-chambolle-musigny-premier-cru-2017/,Rượu Vang Đỏ Domaine Comte Georges de Vogue Chambolle-Musigny Premier Cru 2017,,13.5%,750ML,,PINOT NOIR,PHÁP,https://grandcru.vn/wp-content/uploads/2023/04/domaine-comte-georges-de-vogue-chambolle-musigny-premier-cru.jpg,,,13.5,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-chateau-lagrange-2016/,Rượu Vang Đỏ Château Lagrange 2016,1855 3.751.000 ₫,13.0,750ML,,CABERNET FRANC,PHÁP,https://grandcru.vn/wp-content/uploads/2023/04/chateau-lagrange-2016.jpg,3751000.0,,13.0,750.0
https://grandcru.vn/qua-tang/hop-qua-tang-vang-y-m-malvasia-merlot-2-chai/,Hộp Quà Tặng Vang Ý M Malvasia Merlot (2 chai),2.116.400 ₫,,,,Unknown,Unknown,https://grandcru.vn/wp-content/uploads/2025/09/hop-qua-tang-vang-y-m-malvasia-merlot-2-chai.jpg,2116400.0,,,
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-chateau-de-camensac-2015/,Rượu Vang Đỏ Château de Camensac 2015,1855 2.365.000 ₫,13.5%,750ML,,CABERNET SAUVIGNON,PHÁP,https://grandcru.vn/wp-content/uploads/2023/04/chateau-de-camensac.jpg,2365000.0,,13.5,750.0
https://grandcru.vn/qua-tang/hop-qua-tang-cf-collefrisio-golf-montepulciano-dabruzzo-2-chai/,Hộp Quà Tặng CF Collefrisio Golf Montepulciano d’Abruzzo (2 chai),1.773.800 ₫,,,,"Montepulciano d’Abruzzo được chọn lọc thủ công kỹ lưỡng, lên men tỉ mỉ, ủ 24 tháng trong thùng gỗ sồi, sau đó ủ trong thùng thép không gỉ. Rượu mang sắc đỏ garnet đậm, lan toả hương thơm nổi bật của quả mọng, mâm xôi, lựu, anh đào, điểm xuyết nấm truffle, gia vị, hạt tiêu. Vị vang đậm đà, mềm mượt, cấu trúc vững chắc, hậu vị dài lâu đầy lưu luyến.",Unknown,https://grandcru.vn/wp-content/uploads/2025/09/hop-qua-tang-cf-collefrisio-golf-montepulciano-dabruzzo-2-chai.jpg,1773800.0,,,
https://grandcru.vn/whisky/ruou-tamdhu-year-of-the-horse/,Rượu Tamdhu Year Of The Horse,6.930.000 ₫,53.8,700ML,,Unknown,SCOTLAND,https://grandcru.vn/wp-content/uploads/2025/11/glenallachie-13-year-of-the-horse.jpg,6930000.0,,53.8,700.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-chateau-ducru-beaucaillou-2nd-growth-grand-cru-classe-2016/,"Rượu vang đỏ Château Ducru-Beaucaillou, 2nd Growth, Grand Cru Classé 2016",1855 11.660.000 ₫,13.5%,750ML,,CAB SAUVIGNON,PHÁP,https://grandcru.vn/wp-content/uploads/2024/06/chteau-ducru-beaucaillou-2nd-growth-grand-cru-class.png,11660000.0,,13.5,750.0
https://grandcru.vn/ruou-vang-y/ruou-vang-do-castellare-di-castellina-chianti-classico-3l-2021/,Rượu Vang Đỏ Castellare Di Castellina Chianti Classico 2021 (3000ML),2018 3.570.000 ₫,14.5,3L,,CANAIOLO,Ý,https://grandcru.vn/wp-content/uploads/2023/06/castellare-di-castellina-chianti-classico-3l-2021.jpg,3570000.0,2018.0,14.5,
